"","source","target","weight","Type"
"298",20,95,2,"Undirected"
"299",1,96,1,"Undirected"
"300",10,96,1,"Undirected"
"301",19,96,5,"Undirected"
"302",20,96,6,"Undirected"
"303",22,97,1,"Undirected"
"304",27,97,1,"Undirected"
"305",26,98,1,"Undirected"
"306",27,99,1,"Undirected"
"307",1,100,2,"Undirected"
"308",10,100,1,"Undirected"
"309",1,101,1,"Undirected"
"310",2,102,1,"Undirected"
"311",24,102,1,"Undirected"
"312",8,103,1,"Undirected"
"313",5,104,1,"Undirected"
"314",7,104,1,"Undirected"
"315",9,104,3,"Undirected"
"316",14,104,2,"Undirected"
"317",15,104,2,"Undirected"
"318",23,104,1,"Undirected"
"319",2,105,1,"Undirected"
"320",7,105,1,"Undirected"
"321",9,105,2,"Undirected"
"322",11,105,2,"Undirected"
"323",14,105,3,"Undirected"
"324",15,105,2,"Undirected"
"325",21,105,1,"Undirected"
"326",22,105,1,"Undirected"
"327",5,106,1,"Undirected"
"328",11,106,5,"Undirected"
"329",13,106,1,"Undirected"
"330",19,106,3,"Undirected"
"331",20,106,5,"Undirected"
"332",23,106,2,"Undirected"
"333",11,107,2,"Undirected"
"334",13,107,3,"Undirected"
"335",14,107,1,"Undirected"
"336",23,107,1,"Undirected"
"337",25,107,1,"Undirected"
"338",13,108,1,"Undirected"
"339",1,109,1,"Undirected"
"340",2,109,1,"Undirected"
"341",3,109,1,"Undirected"
"342",7,109,3,"Undirected"
"343",10,109,3,"Undirected"
"344",13,109,4,"Undirected"
"345",14,109,3,"Undirected"
"346",19,109,2,"Undirected"
"347",20,109,4,"Undirected"
"348",23,109,5,"Undirected"
"349",24,109,1,"Undirected"
"350",25,109,1,"Undirected"
"351",13,110,5,"Undirected"
"352",25,110,1,"Undirected"
"353",28,110,1,"Undirected"
"354",13,111,1,"Undirected"
"355",14,111,1,"Undirected"
"356",14,112,1,"Undirected"
"357",15,113,1,"Undirected"
"358",20,113,1,"Undirected"
"359",2,114,1,"Undirected"
"360",3,114,1,"Undirected"
"361",19,114,1,"Undirected"
"362",22,114,1,"Undirected"
"363",7,115,2,"Undirected"
"364",15,115,1,"Undirected"
"365",20,115,2,"Undirected"
"366",20,116,2,"Undirected"
"367",25,116,1,"Undirected"
"368",26,116,1,"Undirected"
"369",1,117,1,"Undirected"
"370",9,117,1,"Undirected"
"371",10,117,1,"Undirected"
"372",22,117,1,"Undirected"
"373",23,117,1,"Undirected"
"374",24,117,1,"Undirected"
"375",24,118,1,"Undirected"
"376",1,119,2,"Undirected"
"377",2,119,1,"Undirected"
"378",3,119,2,"Undirected"
"379",7,119,1,"Undirected"
"380",11,119,1,"Undirected"
"381",14,119,10,"Undirected"
"382",18,119,1,"Undirected"
"383",19,119,2,"Undirected"
"384",20,119,2,"Undirected"
"385",23,119,2,"Undirected"
"386",25,119,4,"Undirected"
"387",26,119,1,"Undirected"
"388",28,119,1,"Undirected"
"389",28,120,1,"Undirected"
"390",2,121,3,"Undirected"
"391",11,121,1,"Undirected"
"392",21,121,3,"Undirected"
"393",3,122,1,"Undirected"
"394",22,122,1,"Undirected"
"395",4,123,1,"Undirected"
"396",7,124,1,"Undirected"
"397",9,124,2,"Undirected"
"398",14,124,1,"Undirected"
"399",17,124,3,"Undirected"
"400",19,124,1,"Undirected"
"401",8,125,1,"Undirected"
"402",8,126,1,"Undirected"
"403",10,126,4,"Undirected"
"404",11,126,1,"Undirected"
"405",14,126,1,"Undirected"
"406",11,127,1,"Undirected"
"407",1,128,1,"Undirected"
"408",3,128,1,"Undirected"
"409",10,128,4,"Undirected"
"410",11,128,2,"Undirected"
"411",17,128,1,"Undirected"
"412",24,128,1,"Undirected"
"413",28,128,1,"Undirected"
"414",7,129,3,"Undirected"
"415",9,129,2,"Undirected"
"416",10,129,2,"Undirected"
"417",11,129,1,"Undirected"
"418",13,129,2,"Undirected"
"419",14,129,1,"Undirected"
"420",15,129,1,"Undirected"
"421",18,129,1,"Undirected"
"422",19,129,1,"Undirected"
"423",20,129,1,"Undirected"
"424",23,129,1,"Undirected"
"425",24,129,2,"Undirected"
"426",25,129,1,"Undirected"
"427",1,130,1,"Undirected"
"428",10,130,3,"Undirected"
"429",11,130,2,"Undirected"
"430",13,130,4,"Undirected"
"431",14,130,2,"Undirected"
"432",23,130,1,"Undirected"
"433",25,130,2,"Undirected"
"434",1,131,1,"Undirected"
"435",10,131,1,"Undirected"
"436",13,131,1,"Undirected"
"437",23,131,1,"Undirected"
"438",2,132,2,"Undirected"
"439",3,132,1,"Undirected"
"440",7,132,1,"Undirected"
"441",9,132,1,"Undirected"
"442",10,132,3,"Undirected"
"443",14,132,3,"Undirected"
"444",19,132,2,"Undirected"
"445",20,132,4,"Undirected"
"446",26,132,1,"Undirected"
"447",14,133,2,"Undirected"
"448",10,134,1,"Undirected"
"449",13,134,6,"Undirected"
"450",14,134,6,"Undirected"
"451",20,134,1,"Undirected"
"452",23,134,2,"Undirected"
"453",14,135,1,"Undirected"
"454",25,136,1,"Undirected"
"455",5,137,1,"Undirected"
"456",19,137,1,"Undirected"
"457",28,137,1,"Undirected"
"458",1,138,2,"Undirected"
"459",7,138,1,"Undirected"
"460",23,138,1,"Undirected"
"461",24,138,1,"Undirected"
"462",1,139,5,"Undirected"
"463",3,139,1,"Undirected"
"464",7,139,1,"Undirected"
"465",10,139,5,"Undirected"
"466",13,139,1,"Undirected"
"467",24,139,2,"Undirected"
"468",25,139,1,"Undirected"
"469",26,139,3,"Undirected"
"470",28,139,2,"Undirected"
"471",2,140,1,"Undirected"
"472",3,140,1,"Undirected"
"473",22,140,1,"Undirected"
"474",2,141,1,"Undirected"
"475",3,141,2,"Undirected"
"476",7,141,2,"Undirected"
"477",8,141,2,"Undirected"
"478",9,141,3,"Undirected"
"479",10,141,1,"Undirected"
"480",15,141,1,"Undirected"
"481",18,141,1,"Undirected"
"482",20,141,1,"Undirected"
"483",21,141,2,"Undirected"
"484",23,141,2,"Undirected"
"485",25,141,2,"Undirected"
"486",28,141,1,"Undirected"
"487",2,142,2,"Undirected"
"488",3,142,7,"Undirected"
"489",7,142,3,"Undirected"
"490",9,142,3,"Undirected"
"491",11,142,1,"Undirected"
"492",14,142,2,"Undirected"
"493",19,142,1,"Undirected"
"494",20,142,3,"Undirected"
"495",25,142,1,"Undirected"
"496",26,142,1,"Undirected"
"497",1,143,3,"Undirected"
"498",2,143,3,"Undirected"
"499",3,143,3,"Undirected"
"500",7,143,4,"Undirected"
"501",8,143,1,"Undirected"
"502",9,143,2,"Undirected"
"503",10,143,2,"Undirected"
"504",11,143,2,"Undirected"
"505",13,143,2,"Undirected"
"506",14,143,5,"Undirected"
"507",15,143,6,"Undirected"
"508",17,143,1,"Undirected"
"509",18,143,5,"Undirected"
"510",19,143,1,"Undirected"
"511",20,143,2,"Undirected"
"512",23,143,4,"Undirected"
"513",24,143,1,"Undirected"
"514",25,143,1,"Undirected"
"515",26,143,3,"Undirected"
"516",28,143,1,"Undirected"
"517",3,144,1,"Undirected"
"518",27,144,1,"Undirected"
"519",3,145,1,"Undirected"
"520",11,145,1,"Undirected"
"521",8,146,1,"Undirected"
"522",8,147,1,"Undirected"
"523",11,147,3,"Undirected"
"524",20,147,1,"Undirected"
"525",1,148,1,"Undirected"
"526",3,148,1,"Undirected"
"527",7,148,1,"Undirected"
"528",9,148,2,"Undirected"
"529",10,148,1,"Undirected"
"530",11,148,1,"Undirected"
"531",28,148,1,"Undirected"
"532",2,149,1,"Undirected"
"533",9,149,1,"Undirected"
"534",10,149,1,"Undirected"
"535",11,149,1,"Undirected"
"536",14,149,2,"Undirected"
"537",23,149,1,"Undirected"
"538",1,150,1,"Undirected"
"539",3,150,1,"Undirected"
"540",7,150,1,"Undirected"
"541",11,150,1,"Undirected"
"542",13,150,1,"Undirected"
"543",14,150,3,"Undirected"
"544",23,150,2,"Undirected"
"545",26,150,1,"Undirected"
"546",15,151,1,"Undirected"
"547",11,152,1,"Undirected"
"548",17,152,1,"Undirected"
"549",18,152,1,"Undirected"
"550",23,152,1,"Undirected"
"551",18,153,1,"Undirected"
"552",19,154,1,"Undirected"
"553",2,155,1,"Undirected"
"554",11,155,1,"Undirected"
"555",19,155,1,"Undirected"
"556",20,155,1,"Undirected"
"557",26,155,1,"Undirected"
"558",3,156,1,"Undirected"
"559",4,156,4,"Undirected"
"560",11,156,1,"Undirected"
"561",15,156,1,"Undirected"
"562",21,156,3,"Undirected"
"563",28,156,1,"Undirected"
"564",22,157,2,"Undirected"
"565",27,157,2,"Undirected"
"566",1,158,3,"Undirected"
"567",3,158,2,"Undirected"
"568",7,158,2,"Undirected"
"569",9,158,1,"Undirected"
"570",10,158,2,"Undirected"
"571",11,158,1,"Undirected"
"572",13,158,1,"Undirected"
"573",22,158,1,"Undirected"
"574",24,158,1,"Undirected"
"575",28,158,2,"Undirected"
"576",1,159,1,"Undirected"
"577",8,159,1,"Undirected"
"578",14,159,1,"Undirected"
"579",26,159,2,"Undirected"
"580",27,160,1,"Undirected"
"581",27,161,1,"Undirected"
"582",1,162,3,"Undirected"
"583",10,162,12,"Undirected"
"584",28,162,4,"Undirected"
"585",1,163,4,"Undirected"
"586",10,163,3,"Undirected"
"587",28,163,1,"Undirected"
"588",3,164,1,"Undirected"
"589",3,165,3,"Undirected"
"590",21,165,1,"Undirected"
"591",5,166,1,"Undirected"
"592",15,166,1,"Undirected"
"593",27,166,4,"Undirected"
"594",9,167,1,"Undirected"
"595",15,167,1,"Undirected"
"596",4,168,2,"Undirected"
"597",9,168,1,"Undirected"
"598",16,168,1,"Undirected"
"599",1,169,2,"Undirected"
"600",10,169,3,"Undirected"
"601",11,169,1,"Undirected"
"602",23,169,1,"Undirected"
"603",24,169,1,"Undirected"
"604",28,169,1,"Undirected"
"605",1,170,1,"Undirected"
"606",7,170,3,"Undirected"
"607",9,170,3,"Undirected"
"608",10,170,3,"Undirected"
"609",11,170,1,"Undirected"
"610",14,170,3,"Undirected"
"611",15,170,3,"Undirected"
"612",19,170,2,"Undirected"
"613",20,170,3,"Undirected"
"614",24,170,1,"Undirected"
"615",27,170,2,"Undirected"
"616",28,170,7,"Undirected"
"617",10,171,2,"Undirected"
"618",11,171,1,"Undirected"
"619",23,171,3,"Undirected"
"620",10,172,1,"Undirected"
"621",2,173,1,"Undirected"
"622",3,173,2,"Undirected"
"623",7,173,3,"Undirected"
"624",10,173,7,"Undirected"
"625",11,173,1,"Undirected"
"626",14,173,2,"Undirected"
"627",17,173,1,"Undirected"
"628",19,173,1,"Undirected"
"629",20,173,2,"Undirected"
"630",23,173,1,"Undirected"
"631",25,173,1,"Undirected"
"632",13,174,3,"Undirected"
"633",23,174,1,"Undirected"
"634",13,175,3,"Undirected"
"635",7,176,1,"Undirected"
"636",9,176,1,"Undirected"
"637",11,176,1,"Undirected"
"638",14,176,1,"Undirected"
"639",15,176,1,"Undirected"
"640",14,177,1,"Undirected"
"641",17,177,1,"Undirected"
"642",15,178,1,"Undirected"
"643",1,179,2,"Undirected"
"644",2,179,1,"Undirected"
"645",7,179,3,"Undirected"
"646",9,179,1,"Undirected"
"647",10,179,1,"Undirected"
"648",14,179,1,"Undirected"
"649",15,179,1,"Undirected"
"650",18,179,1,"Undirected"
"651",20,179,1,"Undirected"
"652",28,179,1,"Undirected"
"653",7,180,2,"Undirected"
"654",14,180,1,"Undirected"
"655",15,180,1,"Undirected"
"656",17,180,1,"Undirected"
"657",20,180,1,"Undirected"
"658",22,180,2,"Undirected"
"659",10,181,1,"Undirected"
"660",14,181,1,"Undirected"
"661",22,181,3,"Undirected"
"662",1,182,1,"Undirected"
"663",23,182,1,"Undirected"
"664",27,183,1,"Undirected"
"665",2,184,1,"Undirected"
"666",7,184,2,"Undirected"
"667",14,184,2,"Undirected"
"668",22,184,1,"Undirected"
"669",27,184,3,"Undirected"
"670",7,185,1,"Undirected"
