Name	City	Country
CASINO GUICHARD PERRACHON	ST ETIENNE CEDEX 1	FRANCE
Lithuanian Business Representation to the EU	Brussels	BELGIUM
Wizz Air Hungary Limited		
International alliance for the protection of heritage in conflict areas		
Berenschot Groep BV	Utrecht	NETHERLANDS
Asociación Española de Empresas Tecnológicas de Defensa, Seguridad, Aeronáutica y Espacio	Madrid	SPAIN
Arbeitsgemeinschaft katholisch-sozialer Bildungswerke in der Bundesrepublik Deutschland e.V.		
LobbyControl	Köln	GERMANY
Solidaris - Union Nationale des Mutualités Socialistes - National Federation of Socialist Mutual Health Funds	Bruxelles - Brussels	BELGIUM
aNewGovernance		
Save the Children International		
Applied Materials	Santa Clara	UNITED STATES
Ecole Polytechnique Fédérale de Lausanne		
Make.org	Paris	FRANCE
European Union of Jewish Students	Brussels	BELGIUM
Le Labo de l'Economie Sociale et Solidaire	PARIS	FRANCE
Amcham Finland ry	Helsinki	FINLAND
MIROVA		
Association of Commercial Television and Video on Demand Services in Europe	Bruxelles	BELGIUM
Association européenne du cautionnement	Bruxelles	BELGIUM
Sequans Communications	Colombes	FRANCE
Verein zur Förderung  der europäischen Sojaproduktion Donau Soja	Vienna	AUSTRIA
Cray UK Limited		
Eucor – The European Campus	Freiburg	GERMANY
Confrontations Europe	Paris	FRANCE
United Internet AG	Montabaur	GERMANY
BP p.l.c.	London	UNITED KINGDOM
Elering AS	Tallinn	ESTONIA
Caritas Europa	Brussels	BELGIUM
Icelandic Financial Services Association		
TrueLayer Ireland	Dublin	IRELAND
CAISSE DES DEPOTS	Paris 07 SP	FRANCE
Urbaser S.A.		
Vivid Economics Ltd		
Institute of Export & International Trade	Peterborough	UNITED KINGDOM
clickworker GmbH		
Biomedical Alliance in Europe	Brussels	BELGIUM
Edwards Lifesciences	Dilbeek	BELGIUM
Zurich Insurance Company Ltd	Zurich	SWITZERLAND
Abertis Infraestructuras S.A.	Madrid	SPAIN
European Dyslexia Association	Braine-le-Chateau	BELGIUM
Deutsche Telekom	Bonn	GERMANY
Unione Italiana del Lavoro	Roma	ITALY
Proton AG	Plan-les-Ouates	SWITZERLAND
Union Professionnelle des Industries Privées du Gaz	PUTEAUX LA DEFENSE Cedex	FRANCE
European Visual Artists	Brussels	BELGIUM
UTOPIA LAB S.R.L.	Roma	ITALY
Finnish Institute of International Affairs	Helsinki	FINLAND
Association des Constructeurs Européens d'Automobiles	Brussels	BELGIUM
Deutsche Umwelthilfe e.V.	Berlin	GERMANY
FireEye Ireland Limited		
Argent Energy	Chester	UNITED KINGDOM
BeeLife European Beekeeping Coordination	Brussels	BELGIUM
Federation of European Social Employers	Brussels	BELGIUM
EUROPEAN LOGISTICS PLATFORM		
International Patient Organisation for Primary Immunodeficiencies	Brussels	BELGIUM
Union for Imternational Cancer Control		
Payward Inc	San Francisco	UNITED STATES
ZF Friedrichshafen AG	Friedrichshafen	GERMANY
Stichting Goed Hout & Goed Papier!	Utrecht	NETHERLANDS
The Advocacy Team LTD		
European Anglers Alliance	Brussels	BELGIUM
Amis du Fonds Mondial Europe	Paris	FRANCE
Finance Latvia Association	Riga	LATVIA
OsloMet – Oslo Metropolitan University	Oslo	NORWAY
American Chamber of Commerce Ireland		
Assarmatori	Rome	ITALY
E-SPACE	Toulouse	FRANCE
Rubinum SA		
Business for Inclusive Growth	Paris	FRANCE
Norwegian Refugee Council Europe	Oslo	NORWAY
Heetch	Paris	FRANCE
Økologisk Landsforening/Organic Denmark	Aarhus N	DENMARK
Quercus - Associação Nacional de Conservação da Natureza		
Kangaroo Group	Brussels	BELGIUM
YOUTH FOR ROAD SAFETY	Culemborg	NETHERLANDS
ASSOCIATION DES PRODUCTEURS AFRICAINS DE BANANES ET AUTRES FRUITS	Paris	FRANCE
Cargill	Wayzata (Minneapolis)	UNITED STATES
Société des auteurs et compositeurs dramatiques	PARIS	FRANCE
Apple Inc.	Cupertino, California	UNITED STATES
Association of European Performers’ Organisations	Brussels	BELGIUM
RISE Research Institutes of Sweden AB	Göteborg	SWEDEN
European Rail Infrastructure Managers		
Aerospacelab SA		
OLX Global BV	Amsterdam	NETHERLANDS
Alzheimer Europe	Luxembourg	LUXEMBOURG
PGGM	Zeist	NETHERLANDS
HERACLES GENERAL CEMENT CO	ATHENS	GREECE
Climate-KIC Holding BV	Amsterdam	NETHERLANDS
Stratosphere Advisors LLC		
European Chapter of the Society for Ecological Restoration (SER) International	Bruxelles	BELGIUM
Fonterra Co-operative Group Limited	Auckland	NEW ZEALAND
Digestive Cancers Europe	Brussels	BELGIUM
Związek Stowarzyszeń Polska Zielona Sieć	Warszawa	POLAND
Europe Affaires Publiques	Bruxelles	BELGIUM
European Family Businesses	madrid	SPAIN
Association européenne des Fonds de Garantie Voyages	Bruxelles	BELGIUM
Save the Children Europe	Brussels	BELGIUM
European Association for the Education of Adults	Brussels	BELGIUM
News/Media Alliance	Arlington, VA	UNITED STATES
Ragn Sells AS	Tallinn	ESTONIA
Tokonomics		
Pinergy	Dublin	IRELAND
Stiftung Familienunternehmen		
Europeans for Fair Competition	Brussels	BELGIUM
Grupa Azoty Spółka Akcyjna	Tarnów	POLAND
Gas Infrastructure Europe	Brussels	BELGIUM
European Association of E-Pharmacies	Venlo	NETHERLANDS
Sea Ranger Service	Amsterdam	NETHERLANDS
HINDU FORUM EUROPE	Bruxelles	BELGIUM
The Club of Rome		
Magyar Helsinki Bizottság	Budapest	HUNGARY
Lilium GmbH	Wessling	GERMANY
The European Women Lawyers Association	Mortsel	BELGIUM
Bundesverband Digitalpublisher und Zeitungsverleger	Berlin	GERMANY
Krajowy Sekretariat Zasobów Naturalnych, Ochrony Środowiska i Leśnictwa Niezależny Samorządny Związek Zawodowy Solidarność (National Secretariat for Environmental Protection, Natural Resources and Forestry of Independent Self-Governing Trade Union		
European Technology Policy		
European Youth Forum	Brussels	BELGIUM
Związek Rzemiosła Polskiego	Warszawa	POLAND
PaperFoam bv		
Fieldfisher (Belgium) LLP		
Cloud Communications Alliance		
Nederlandse Zoötechnische Vereniging	Nijmegen	NETHERLANDS
European Dairy Association aisbl	BRUSSELS	BELGIUM
Bureau Brussel Vewin - Unie van Waterschappen	Den Haag / Den Haag	NETHERLANDS
CONSEIL DE COOPERATION ECONOMIQUE		
National Grid Commercial Holdings Limited	Brussels	BELGIUM
Associazione Nazionale Imprese Trasporti Automobilistici.	Rome	ITALY
Anheuser-Busch InBev nv/sa	Leuven	BELGIUM
Jaguar Land Rover Limited	Coventry	UNITED KINGDOM
Artelys	Paris	FRANCE
Luxembourg Institute of Socio-Economic Research	Esch-sur-Alzette	LUXEMBOURG
MedTech in France		
Accountancy Europe	Brussels	BELGIUM
Cboe Europe	Amsterdam	NETHERLANDS
Finnovaregio		
Banana Growers Association, Belize		
aldes	Vénissieux	FRANCE
Kingspan Group PLC	Co Cavan	IRELAND
CloudFerro sp. z o.o.		
Agence de développement et d'innovation de Mayotte		
International Chemical Secretariat	Göteborg	SWEDEN
Zentraler Immobilien Ausschuss	Berlin	GERMANY
Fédération Nationale des Syndicats d'Exploitants Agricoles	Paris	FRANCE
Motor Insurers Bureau of Ireland		
Sky Group	Isleworth, Middlesex	UNITED KINGDOM
Bürgerbewegung Finanzwende e. V.	Berlin	GERMANY
Eumicon AISBL	Bruxelles	BELGIUM
World Shipping Council	Washington D.C.	UNITED STATES
Security Association for the Maritime Industry		
European Center for Not-for-Profit Law Stichting	The Hague	NETHERLANDS
Vodafone Belgium SA	Brussels	BELGIUM
European Metropolitan Transport Authorities	Paris	FRANCE
Scotland Europa	Brussels	BELGIUM
WaterAid	London	UNITED KINGDOM
CMI - Martti Ahtisaari Peace Foundation	Helsinki	FINLAND
Democracy International e.V.	Köln	GERMANY
Algemeen Christelijk Vakverbond van België	Brussels	BELGIUM
NKT A/S	Brøndby	DENMARK
EFRAG		
European Federation of Inland Ports	Brussels	BELGIUM
Samaritan International	Köln	GERMANY
Institut Montaigne	Paris	FRANCE
RPP Group	Brussels	BELGIUM
Vonovia SE	Bochum	GERMANY
European Marine Board	Oostende	BELGIUM
LEGAMBIENTE NAZIONALE – APS – RETE ASSOCIATIVA – ETS	Roma	ITALY
APX Holding B.V.		
Carnegie Europe Foundation	Bruxelles	BELGIUM
Solarstone OÜ		
Професионална асоциация по роботика и автоматизация		
European State Forest Association	Bruxelles	BELGIUM
Housing Europe - European Federation for Public, Cooperative and Social Housing	Brussels	BELGIUM
Wilmar Europe Trading BV	Rotterdam	NETHERLANDS
Prysmian S.p.A.		
Temper	Amsterdam	NETHERLANDS
Concawe	Brussels	BELGIUM
Nouryon	Amsterdam	NETHERLANDS
Airbus	Leiden	NETHERLANDS
Lenovo Group Limited	Hong Kong	CHINA
Institut national de recherche pour l’agriculture, l’alimentation et l’environnement	Paris	FRANCE
Chiesi Farmaceutici SpA	Parma	ITALY
FEDERCASSE - Federazione Italiana delle Banche di Credito Cooperativo Casse Rurali e Artigiane	ROMA	ITALY
Uniper	Düsseldorf	GERMANY
Dragon1 Netherlands BV	Wageningen	NETHERLANDS
The Blackstone Group	London	UNITED KINGDOM
Gazprom		
Fondation Jérôme Lejeune	Paris	FRANCE
Unilever	London	UNITED KINGDOM
Covestro AG	Leverkusen	GERMANY
Siemens AG	München	GERMANY
Corporate Europe Observatory	Brussels	BELGIUM
International Federation of Actors	Brussels	BELGIUM
TUI AG	Hannover	GERMANY
Bombardier Transportation		
GFG Alliance	London	UNITED KINGDOM
Alliance for Logistics Innovation through Collaboration in Europe, ALICE	Bruxelles	BELGIUM
MeFu-Mestieri del Fumetto	Torino	ITALY
DSW (Deutsche Stiftung Weltbevoelkerung)	Hannover	GERMANY
Arton Capital	Montreal	CANADA
Global Infrastructure Investor Association	London	UNITED KINGDOM
DTEK		
Polkomtel Sp.z o.o.	Warszawa	POLAND
Application Developers Alliance	Washington, DC	UNITED STATES
EUROFI	paris	FRANCE
Wien Energie GmbH	Wien	AUSTRIA
Enterprise Rent A Car UK, Ltd.		
Nordion (Canada) Inc.	Ottawa	CANADA
Confédération des Associations Nationales de Tanneurs et Mégissiers de la Communauté Européenne	Bruxelles	BELGIUM
Aon		
European Potato Processors' Association	Brussels	BELGIUM
Achema	Jonavos r.	LITHUANIA
Transport en Logistiek Nederland	Zoetermeer	NETHERLANDS
Copenhagen Business School	Frederiksberg	DENMARK
Good Conversations gGmbH		
